dataset,seen_in_training,true_label,predicted,p_fake,correct,file
Dataset,trained-on,real,real,0.0284,yes,Dataset__trained-on/real/real_5138.jpg
Dataset,trained-on,real,real,0.0267,yes,Dataset__trained-on/real/real_2573.jpg
Dataset,trained-on,real,real,0.0317,yes,Dataset__trained-on/real/real_4588.jpg
Dataset,trained-on,real,real,0.0230,yes,Dataset__trained-on/real/real_1099.jpg
Dataset,trained-on,real,real,0.3158,yes,Dataset__trained-on/real/real_1154.jpg
Dataset,trained-on,real,real,0.0282,yes,Dataset__trained-on/real/real_1118.jpg
Dataset,trained-on,fake,fake,0.9771,yes,Dataset__trained-on/fake/fake_4545.jpg
Dataset,trained-on,fake,fake,0.9731,yes,Dataset__trained-on/fake/fake_3824.jpg
Dataset,trained-on,fake,fake,0.9729,yes,Dataset__trained-on/fake/fake_940.jpg
Dataset,trained-on,fake,fake,0.9768,yes,Dataset__trained-on/fake/fake_2299.jpg
Dataset,trained-on,fake,fake,0.9797,yes,Dataset__trained-on/fake/fake_809.jpg
Dataset,trained-on,fake,fake,0.9784,yes,Dataset__trained-on/fake/fake_687.jpg
real-vs-fake,trained-on,real,real,0.0241,yes,real-vs-fake__trained-on/real/60318.jpg
real-vs-fake,trained-on,real,real,0.0249,yes,real-vs-fake__trained-on/real/21859.jpg
real-vs-fake,trained-on,real,real,0.0255,yes,real-vs-fake__trained-on/real/09131.jpg
real-vs-fake,trained-on,real,real,0.0257,yes,real-vs-fake__trained-on/real/66030.jpg
real-vs-fake,trained-on,real,real,0.0621,yes,real-vs-fake__trained-on/real/21625.jpg
real-vs-fake,trained-on,real,real,0.0254,yes,real-vs-fake__trained-on/real/46262.jpg
real-vs-fake,trained-on,fake,fake,0.9757,yes,real-vs-fake__trained-on/fake/713ANJC4RI.jpg
real-vs-fake,trained-on,fake,fake,0.9735,yes,real-vs-fake__trained-on/fake/3OALBPF4W0.jpg
real-vs-fake,trained-on,fake,fake,0.9781,yes,real-vs-fake__trained-on/fake/FC3Y0VP11G.jpg
real-vs-fake,trained-on,fake,fake,0.9743,yes,real-vs-fake__trained-on/fake/IA8KZ528ON.jpg
real-vs-fake,trained-on,fake,fake,0.9775,yes,real-vs-fake__trained-on/fake/UQ2EZG1P02.jpg
real-vs-fake,trained-on,fake,fake,0.9753,yes,real-vs-fake__trained-on/fake/1Y1NFS1OPV.jpg
